ACTCMMID,COSTT4_A,RET_FT4,MD_EARN_WNE_INC1_P10,SAT_AVG,TUITIONFEE_IN,OPENADMP,UG25ABV,PCTPELL,PCTPELL_DCS,C150_4
27.0,66835.0,0.8245,66897.0,1263.0,53814.0,2.0,0.0067,0.245,0.2461,0.7948
21.0,46023.0,0.7258,46679.0,1076.0,36346.0,2.0,0.0583,0.392,0.3989,0.6735
29.0,67233.0,0.8471,81196.0,1328.0,50640.0,2.0,0.0951,0.2932,0.3007,0.75
24.0,32151.0,0.8032,57177.0,1111.0,15170.0,2.0,0.0412,0.3034,0.3042,0.6698
22.0,39201.0,0.6145,51293.0,1032.0,30910.0,2.0,0.25,0.3294,0.3326,0.5311
28.0,63874.0,0.8185,53811.0,1311.0,53259.0,2.0,0.0216,0.2984,0.3026,0.7457
29.0,65637.0,0.851,61038.0,1281.0,52902.0,2.0,0.0295,0.354,0.354,0.7778
23.0,44513.0,0.8082,64981.0,1133.0,36530.0,2.0,0.1825,0.3153,0.3243,0.6231
30.0,62997.0,0.8127,69658.0,1308.0,49498.0,2.0,0.0691,0.224,0.2255,0.7087
23.0,40918.0,0.7017,49776.0,1087.0,26892.0,2.0,0.0762,0.3526,0.3717,0.5779
26.0,54707.0,0.7654,42092.0,1141.0,42214.0,2.0,0.0093,0.3272,0.3293,0.5684
25.0,54661.0,0.7695,54299.0,1138.0,43046.0,2.0,0.0362,0.2608,0.2631,0.6333
23.0,41988.0,0.7091,55604.0,1120.0,34020.0,2.0,0.0979,0.4416,0.4416,0.55
35.0,83803.0,0.9779,79700.0,1526.0,63468.0,2.0,0.0326,0.1825,0.1858,0.9652
23.0,49685.0,0.7652,47499.0,1178.5,37940.0,2.0,0.0677,0.35,0.3559,0.6662
25.0,45051.0,0.8228,49308.0,1125.0,32130.0,2.0,0.0467,0.0,0.0,0.7679
24.0,43381.0,0.6897,45464.0,1178.5,31940.0,2.0,0.0853,0.2929,0.3205,0.5
21.0,45985.0,0.6386,51185.0,980.0,35050.0,2.0,0.1966,0.4912,0.4937,0.4014
24.0,46360.0,0.6028,42650.0,973.0,33068.0,2.0,0.2229,0.4807,0.4878,0.4257
25.0,43574.0,0.7484,57626.0,1012.0,36500.0,2.0,0.1008,0.4818,0.4972,0.587
23.0,43760.0,0.7129,58807.0,1166.0,36000.0,2.0,0.2252,0.3753,0.3884,0.6495
24.0,24287.0,0.7577,55090.0,1125.0,12077.0,2.0,0.344,0.3592,0.3683,0.5322
24.0,28970.0,0.7032,49479.0,1068.0,15416.0,2.0,0.1966,0.3598,0.3676,0.4934
23.0,24429.0,0.7051,51598.0,1080.0,12558.0,2.0,0.1417,0.3225,0.3245,0.5352
24.0,46996.0,0.7654,49957.0,1088.0,34325.0,2.0,0.1998,0.3246,0.3367,0.6875
18.0,46333.0,0.7143,43096.0,1076.0,33898.0,2.0,0.1431,0.3454,0.4105,0.4965
30.0,54537.0,0.9024,53691.0,1367.0,42240.0,2.0,0.0085,0.209,0.2126,0.8827
22.0,48027.0,0.6901,43194.0,1090.0,34080.0,2.0,0.0777,0.365,0.3724,0.5934
24.0,24478.0,0.7288,46288.0,1191.0,10440.0,2.0,0.0508,0.3356,0.3598,0.6387
28.0,62673.0,0.8867,65845.0,1262.0,44460.0,2.0,0.0095,0.1349,0.1395,0.8078
28.0,70394.0,0.924,60930.0,1275.0,55410.0,2.0,0.0023,0.1636,0.1651,0.7925
28.0,62999.0,0.7953,44647.0,1261.0,50058.0,2.0,0.0061,0.2492,0.2511,0.7465
26.0,52798.0,0.8012,45351.0,1180.0,41336.0,2.0,0.0585,0.211,0.2439,0.6499
23.0,49403.0,0.7233,50040.0,1096.0,36136.0,2.0,0.0145,0.3915,0.4,0.6298
27.0,47366.0,0.8033,50953.0,1132.0,36660.0,2.0,0.1041,0.3151,0.3255,0.6378
23.0,39454.0,0.7864,41717.0,1103.0,29048.0,2.0,0.0688,0.3016,0.3378,0.6633
28.0,55210.0,0.779,47925.0,1214.0,41559.0,2.0,0.004,0.2558,0.2759,0.6916
31.0,47029.0,0.713,44850.0,1320.0,34800.0,2.0,0.0556,0.2735,0.2735,0.3256
