INSTNM,CITY,STABBR,ZIP,ADM_RATE_ALL,ADMCON7,SAT_AVG,ACTCM25,ACTCM75,OPENADMP,PCTFLOAN_DCS,PCTPELL_DCS,FTFTPCTFLOAN,UGDS,UGDS_MEN,UGDS_WOMEN,UG25ABV,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,PAR_ED_PCT_1STGEN,FAMINC,MD_FAMINC,PCT_BORN_US,UNEMP_RATE,COSTT4_A,COSTT4_P
Temple College,Temple,TX,76504-7435,,,,,,1.0,0.3011,0.5318,0.2298,3198.0,0.3133,0.6867,0.2969,0.3709,0.1648,0.3349,0.0194,0.0059,0.0034,0.061,0.0,0.0397,8192,6897,0.4645346453,32667.873511,24785,92.1500015258789,3.16000008583068,10093.0,
University of Texas Southwestern Medical Center,Dallas,TX,75390-9096,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,5265.338843,4070,83.8499984741211,3.16000008583068,,
The University of Texas Health Science Center at San Antonio,San Antonio,TX,78229-3900,,,,,,,0.5248,0.3113,,785.0,0.2828,0.7172,0.4384,0.2752,0.0548,0.5656,0.0675,0.0025,0.0013,0.0242,0.0013,0.0076,15000,14972,0.3713692946,48841.572491,30474,87.120002746582,3.31999993324279,,
The University of Texas Medical Branch at Galveston,Galveston,TX,77555-0129,,,,,,,0.4449,0.2054,,585.0,0.1795,0.8205,0.3438,0.3333,0.0991,0.2632,0.2598,0.0034,0.0017,0.0274,0.0051,0.0068,13000,12500,0.3766233766,66247.784585,43436.5,85.5599975585937,4.01000022888183,,
Texarkana College,Texarkana,TX,75599,,,,,,1.0,0.1159,0.4187,0.0706,1635.0,0.3284,0.6716,0.2347,0.5333,0.2997,0.0905,0.008,0.0043,0.0012,0.0398,0.0171,0.0061,9500,9172,0.4739336493,24720.37886,18353.5,97.8899993896484,3.80999994277954,12984.0,
Texas A & M University-Kingsville,Kingsville,TX,78363,0.96549930651872,5.0,1130.0,,,2.0,0.5047,0.5638,0.4833,4562.0,0.4963,0.5037,0.1239,0.1438,0.0438,0.7582,0.0064,0.0013,0.0007,0.0114,0.0316,0.0028,16000,15048,0.4587833997,41069.331689,28201,88.1999969482422,4.67999982833862,22081.0,
Texas A & M University-College Station,College Station,TX,77843-1246,0.6264796646861,1.0,1281.0,25.0,31.0,2.0,0.2663,0.1995,0.257,56792.0,0.5301,0.4699,0.0209,0.5563,0.0229,0.2539,0.1135,0.0022,0.0004,0.0373,0.0102,0.0033,15250,15000,0.2995074728,79762.697172,58904,88.4400024414062,3.34999990463256,31451.0,
The University of Texas at Arlington,Arlington,TX,76013,0.80804079588398,5.0,1112.0,18.0,26.0,2.0,0.3341,0.3714,0.291,30503.0,0.3982,0.6018,0.3753,0.2497,0.1504,0.3768,0.1405,0.0015,0.0009,0.0388,0.0356,0.0058,11594,12372,0.4376915601,48507.009011,36453.5,86.7699966430664,3.27999997138977,24530.0,
The University of Texas at Austin,Austin,TX,78705,0.31354591624344,5.0,1373.0,26.0,33.0,2.0,0.2705,0.2467,0.2841,40980.0,0.4257,0.5743,0.0226,0.3318,0.0451,0.2802,0.244,0.001,0.0005,0.0398,0.0448,0.0127,19258,18477,0.2751759015,75674.323496,53018,84.9000015258789,3.25999999046325,29361.0,
The University of Texas at Dallas,Richardson,TX,75080-3021,0.84744186046511,5.0,1304.0,24.0,32.0,2.0,0.3606,0.3155,0.2924,21586.0,0.5643,0.4357,0.1145,0.2427,0.0549,0.1783,0.4138,0.001,0.0006,0.04,0.0402,0.0286,13874,13500,0.313957935,54392.730439,36564,83.8300018310547,2.85999989509582,28456.0,
